file,text,translation,a,b,c,d,note
qlv4_03,"高屋敷刑事の実家は､
何をやっている？",,"レストラン
餐厅","花屋
花店","不動産屋
房地产商","料亭
料亭",
qlv4_04,"垣内署の刑事二課の
課長代理は浅見と誰？",,"児島
儿岛","山下
山下","駒鳥
驹鸟","田淵
田渊",
qlv4_05,花田史郎の元の苗字は？,,"滝口
泷口","山口
山口","澤村
泽村","種田
种田",
qlv4_06,魅音の親戚､不動産屋さんは誰？,,"弘
弘","善郎
善郎","義郎
义郎","三郎
三郎",
qlv4_07,羽入の剣の名前は？,,"柳桜
柳樱","流桜
流樱","桜桃
樱桃","龍桜
龙樱",
qlv4_08,"この中で実在しない
古手家の人間は？",,"来花
来花","桜花
樱花","梨花
梨花","風花
风花",
qlv4_09,"タカノクリニックに
勤めている医者は誰？",,"山本
山本","沖田
冲田","川上
川上","小早川
小早川",
qlv4_10,羽入の言い伝えられている本名は？,,"イェアソムール
耶阿索穆尔","シーツェン
西岑","リューン
琉恩","ジェダ
杰达",
qlv4_11,鷹野の元の苗字は？,,"田無
田无","吉祥寺
吉祥寺","中野
中野","三鷹
三鹰",
qlv4_12,富竹の得意技は？,,"射撃
射击","タックル
擒抱","盗撮
偷拍","空気を読む
察言观色",
qlv4_13,"｢祭囃し編・漂尽し編｣当時､
赤坂の階級は？",,"警視
警视","警視正
警视正","警部補
警部补","警部
警部",
qlv4_14,"鷹野の焼死トリックは
何で見破られた？",,"保険証
保险证","目撃証言
目击证言","DNA鑑定
DNA鉴定","プロファイル
档案",
qlv4_15,"刑事の南井巴､
配属されたことがないのは？",,"警視庁
警视厅","警察庁
警察厅","茨城県警
茨城县警","愛知県警
爱知县警",
qlv4_16,入江の父親､職業は何？,,"土建職人
土建工匠","画家
画家","医師
医师","教師
教师",
qlv4_17,入江の専門は？,,"精神外科
精神外科","内科
内科","小児科
小儿科","眼科
眼科",
qlv4_18,園崎茜､通り名はなんという？,,"鬼姫
鬼姬","歌姫
歌姬","舞姫
舞姬","鬼婆
鬼婆",
qlv4_19,"ブラジルの首都､
魅音が答えたのは？",,"ジュネーブ
日内瓦","リオデジャネイロ
里约热内卢","ブエノスアイレス
布宜诺斯艾利斯","ブラジリア
巴西利亚",
qlv4_20,"魅音の学力のダメっぷり､
圭一は何にたとえた？",,"ウナギ
鳗鱼","ピラニア
食人鱼","トビウオ
飞鱼","ペンギン
企鹅",
qlv4_21,"婚約騒動の中で魅音､
事実を聞かされてどうなった？",,"立ったまま気絶
站着晕倒","鼻血吹き出す
鼻血喷出","穴を掘って埋まる
挖洞埋起来","逃亡して行方不明
逃亡后下落不明",
qlv4_22,"初デートが決まって魅音､
どうなった？",,"鼻血吹き出す
鼻血喷出","立ったまま気絶
站着晕倒","穴を掘って埋まる
挖洞埋起来","逃亡して行方不明
逃亡后下落不明",
qlv4_23,"鷹野を操る影の支配者､
名乗っていない苗字は？",,"森
森","野村
野村","渡邉
渡边","舞沢
舞泽",
qlv4_24,"褶尽し編・裏｣､ラスポス､
千葉を逮捕したのは？",,"反町
反町","巴
巴","山沖
山冲","前野
前野",
qlv4_25,赤坂の得意技で違うのは？,,"射撃
射击","格闘技
格斗技","諜報
谍报","麻雀
麻将",
qlv4_26,｢言祝し編｣の園崎家当主､名前は？,,"魔央
魔央","真緒
真绪","真央
真央","真魚
真鱼",
qlv4_27,田無美代子､集めているのは？,,"旗
旗","コイン
硬币","切手
邮票","キャップ
盖子",
qlv4_28,"鷹野三四の恩人､高野先生。
下の名前は？",,"一二三
一二三","十三
十三","一八
一八","二三也
二三也",
qlv4_29,"雲雀13､
何に例えてクールといった？",,"ミント
薄荷","アイス
冰淇淋","ナイフ
小刀","アフロ
爆炸头",
qlv4_30,"雲雀13､沙都子のトラップに
どう対抗した？",,"後ろに下がる
向后退","真ん中を通る
从正中通过","真上にジャンプ
向上跳","その場を動かない
原地不动",
qlv4_31,公由夏美､昔のアダ名は？,,"座敷わらし
座敷童子","コロポックル
克洛波库尔","キジムナー
木棉妖","ぬらりひょん
滑瓢",
qlv4_32,"南井巴､
物語中ではどこまで出世した？",,"広報室長
宣传室长","刑事課長
刑事课长","公安課長
公安课长","署長
署长",
qlv4_33,巴の協力者の相馬､所属はどこ？,,"科学警察研究所
科学警察研究所","科学捜査研究所
科学搜查研究所","麻薬取締官事務所
缉毒官事务所","東京地方検察庁
东京地方检察厅",
qlv4_34,巴の協力者の反町､所属はどこ？,,"東京地方検察庁
东京地方检察厅","科学捜査研究所
科学搜查研究所","科学警察研究所
科学警察研究所","麻薬取締官事務所
缉毒官事务所",
qlv4_35,公由志乃の声優さんは？,,"前田愛
前田爱","松井菜桜子
松井菜樱子","水野理紗
水野理纱","井上麻里奈
井上麻里奈",
qlv4_36,園崎魔央の声優さんは？,,"井上麻里奈
井上麻里奈","松井菜桜子
松井菜樱子","前田愛
前田爱","水野理紗
水野理纱",
qlv4_37,立ち絵で負傷差分があるキャラは？,,"鷹野三四
鹰野三四","入江京介
入江京介","富竹ジロウ
富竹次郎","大石蔵人
大石藏人",
qlv4_38,"バトル用の立ち絵がないのは､
この中の誰？",,"反町美雪
反町美雪","竜宮レナ
龙宫蕾娜","羽入
羽入","園崎魅音
园崎魅音",
qlv4_39,"｢言祝し編｣の羽入､
巫女服の前はどんな服だった？",,"黒い戦闘服
黑色战斗服","白い宇宙服
白色宇宙服","実は裸
其实是裸体","赤い羽衣
红色羽衣",
qlv4_40,"｢言祝し編｣､陸を助けるため
羽入が倒したケモノは？",,"熊
熊","狼
狼","猪
猪","象
象",
qlv4_41,"原作版｢祭囃し編｣､
エンディグテーマは何？",,"そらのむこう
天空的彼岸","you
you","Friend
Friend","escape
escape",
qlv4_42,"｢賽殺し編｣､
母と一緒に作ったのは何？",,"カレー
咖喱","肉じゃが
土豆炖肉","オムライス
蛋包饭","シチュー
炖菜",
qlv4_43,"｢祭囃し編｣､
赤坂の一撃は何にたとえられた？",,"徹甲弾
穿甲弹","焼夷弾
燃烧弹","核弾頭
核弹头","爆裂弾
爆裂弹",
qlv4_44,"絆シリーズの｢言祝し編｣､
脚本を担当したのは？",,"中村慎介
中村慎介","中野麻衣
中野麻衣","宮城季詩子
宫城季诗子","鴻野貴光
鸿野贵光",
qlv4_45,山沖とまどか､年齢は何歳差？,,"31歳
31岁","26歳
26岁","40歳
40岁","28歳
28岁",
qlv4_46,"ひぐらしのなく頃に絆､
第四巻は？",,"絆
绊","祟
祟","想
想","螺
螺",
qlv4_47,"絆シリーズ第四巻､
出たのは何年？",,"2010年
2010年","2007年
2007年","2008年
2008年","2009年
2009年",
qlv4_48,｢Friend｣､歌ったのは誰?,,"いとうかなこ
伊藤香奈子","彩音
彩音","Cyua
Cyua","諫山実生
谏山实生",
qlv4_49,"｢コンプレックス・イマージュ｣､
歌ったのは誰？",,"彩音
彩音","いとうかなこ
伊藤香奈子","Cyua
Cyua","諫山実生
谏山实生",
qlv4_50,"｢漂尽し編｣､
エンディングテーマは何？",,"Friend
Friend","そらのむこう
天空的彼岸","you
you","escape
escape",
qlv4_51,このキャラは誰？,这个角色是谁？,"鷹野
鹰野","鷹埜
鹰野","高野
高野","ラムダデルタ
拉姆达戴露塔",
qlv4_52,このキャラは誰？,这个角色是谁？,"イェアソムール
耶阿索穆尔","尾八白様
尾八白大人","アウアウローラ
啊呜啊呜罗拉","ジェダ
杰达",
qlv4_53,このキャラは誰？,这个角色是谁？,"お魎
阿魉","お菊
阿菊","お梅
阿梅","お京
阿京",
qlv4_54,このキャラは誰？,这个角色是谁？,"桜花
樱花","桃花
桃花","彩花
彩花","梨花
梨花",
qlv4_55,このキャラは誰？,这个角色是谁？,"雲雀13
云雀13","鶯13
莺13","燕13
燕13","天草十二
天草十二",
qlv4_56,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"佐藤利奈
佐藤利奈","左藤利奈
左藤利奈","佐藤縁寿
佐藤缘寿","レールガン・御坂
超电磁炮・御坂",
qlv4_57,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"間島淳司
间岛淳司","真島淳司
真岛淳司","間島純次
间岛纯次","プリニー・稲穂
普利尼・稻穗",
qlv4_58,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"大浦冬華
大浦冬华","田無三四
田无三四","田無美代子
田无美代子","メリル・田無
梅丽尔・田无",
qlv4_59,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"若本規夫
若本规夫","若本ノリ夫
若本规夫","若元紀夫
若元纪夫","穴子輝
星鳗辉",
qlv4_60,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"関智一
关智一","関友一
关友一","関俊一
关俊一","ドモン・骨川
多蒙・骨川",
qlv5_01,"鹿骨市役所雛見沢出張所主事､
そのフルネームは？",,"公由真由美
公由真由美","公由春子
公由春子","公由冬司
公由冬司","公由アキ
公由亚纪",
qlv5_02,"園崎本家のお手伝いさん､
そのフルネームは？",,"牧野沁子
牧野沁子","染シミ子
染染子","牧野アンナ
牧野安娜","熊沢チヨ
熊泽千代",
qlv5_03,"鬼隠し編､レナが圭一に
言い放った言葉は？",,"嘘だッ！
骗人！","嘘だっちゃ！
骗人的说！","嘘だぁ！！！
骗人哒！！！","嫌だッ！
不要！",
qlv5_04,"興宮タイタンズの
実力派投手の名前は？",,"亀田
龟田","辰吉
辰吉","竹原
竹原","内藤
内藤",
qlv5_05,"葛西辰由､
｢何｣の辰と呼ばれていたか？",,"散弾銃
散弹枪","機関銃
机关枪","光線銃
光线枪","水鉄砲
水枪",
qlv5_06,｢はにゆう｣市がある県名は？,,"埼玉県
埼玉县","茨城県
茨城县","岐阜県
岐阜县","沖縄県
冲绳县",
qlv5_07,"濡尽し編､鷹野に対して
発砲許可を出したのは誰？",,"大高
大高","織田
织田","大石
大石","熊谷
熊谷",
qlv5_08,"BSスカパー！版ドラマで
圭一を演じたのは誰？",,"稲葉友
稻叶友","吉沢亮
吉泽亮","赤楚衛二
赤楚卫二","瀬戸利樹
濑户利树",
qlv5_09,"BSスカパー！版
ひぐらしのなく頃に解は全何話？",,"4話
4话","3話
3话","12話
12话","11話
11话",
qlv5_10,"BSスカパー！版
ひぐらしのなく頃に､
部活メンバーの女性を
演じたのは？",,"NGT48
NGT48","AKB48
AKB48","乃木坂46
乃木坂46","SKE48
SKE48",
qlv5_11,"神姦し編､エンディングテーマは
｢ひぐらし｣何？",,"ブレイクアウト！
破局！","アウトブレイク！
Outbreak！","ブレイクスルー！
突破！","が鳴き止まない
鸣叫不止",
qlv5_12,"ひぐらしシリーズ､
存在しないタイトルは？",,"散
散","礼
礼","祭
祭","雀
雀",
qlv5_13,"雛見沢のモデルとなった白川郷､
何県にある？",,"岐阜
岐阜","富山
富山","長野
长野","福井
福井",
qlv5_14,竜宮レナの本名は？,,"礼奈
礼奈","玲奈
玲奈","麗奈
丽奈","れな
蕾娜",
qlv5_15,"パッターボックスで
沙都子が口にくわえているものは？",,"葉っぱ
叶子","たんぽぽ
蒲公英","ジャーキー
肉干","歯ブラシ
牙刷",
qlv5_16,"｢ひぐらしのなく頃に祭・限定版｣
ポストカードケースの内側に
描かれているものは？",,"眼
眼","鉈
柴刀","おはぎ
牡丹饼","ひぐ夫
蝉夫",
qlv5_17,"｢パチスロひぐらしのなく頃に祭｣､
宣伝部長は誰？",,"ひぐ夫
蝉夫","ひぐしげ
蝉茂","しげっるチー
茂尔奇","オヤシロリカ
御社梨花",
qlv5_18,圭一の二つ名､何の｢魔術師｣？,,"口先
口头功夫","妄想
妄想","ハッタリ
虚张声势","漆黒
漆黑",
qlv5_19,"罪滅し編､
罪を告白するレナは
何の上に立っていた？",,"廃車
废车","富竹の背中
富竹的背影","ケンタ君人形
健太君人偶","銭湯の煙突
澡堂的烟囱",
qlv5_20,"皆殺し編､
圭一に殴りかかる
詩音が持っていた物は？",,"椅子
椅子","金属バット
金属球棒","スタンガン
电击枪","日本刀
日本刀",
qlv5_21,"祭囃し編
美代子が電話ポックスで
見つけたものは？",,"10円玉
10元硬币","テレホンカード
电话卡","サイフ
钱包","金塊
金块",
qlv5_22,"園崎家､古井戸の中に
隠されていたものは？",,"抜け穴
暗道","黄金
黄金","宇宙船
宇宙船","テスト答案
测试答卷",
qlv5_23,雛見沢村の旧称は？,,"鬼ケ淵村
鬼渊村","清見村
清见村","荘川村
庄川村","白川村
白川村",
qlv5_24,"梨花が打ち破ったのは
何年間の袋小路？",,"100年以上
100年以上","17年
17年","1000年
1000年","28年
28年",
qlv5_25,"大石刑事､
下の名をカタカナで書くと？",,"クラウド
云","ヴァン
凡","ティーダ
泰达","ノクティス
诺克提斯",
qlv5_26,山狗の指揮官､小此木の階級は？,,"二尉
二尉","三佐
三佐","軍曹
军曹","曹長
曹长",
qlv5_27,詩音のバイト先､店名はどれ？,,"エンジェルモート
Angel Mort","ハンナミラーズ
Anna Miller's","びっくりモンキー
惊吓猴子","シルバーパロット
银鹦鹉",
qlv5_28,詩音のバイト先､経営者の名前は？,,"義郎
义郎","泰夫
泰夫","啓一
启一","兵吾
兵吾",
qlv5_29,悟史の口癖は？,,"むぅ…
唔…","うりゅー
乌琉","はにゅん
哈牛","わにゃん
哇喵",
qlv5_30,"｢ひぐらしのなく頃に祭｣､
予約特典の悟志バットは
どんな機能？",,"ボールペン
圆珠笔","耳かき
掏耳朵","タッチペン
触控笔","充電器
充电器",
qlv5_31,"目明し編､
クレジットで流れる曲はどれ？",,"you
you","your
your","奈落の花
奈落之花","漆黒の祭壇
漆黑的祭坛",
qlv5_32,"罪滅し編､
レナが学校に撤いたのは何？",,"ガソリン
汽油","除草剤
除草剂","金塊
金块","まきびし
撒菱",
qlv5_33,"この中で､2017年までに
存在しない作品は？",,"祝
祝","誓
誓","叫
叫","怪
怪",
qlv5_34,大石のソウルネームは何？,,"クラウド
云","オリバー
奥利弗","ウェイン
韦恩","チャールズ
查尔斯",
qlv5_35,富竹のソウルネームは何？,,"トミー
汤米","サイラス
赛拉斯","ケイレブ
凯莱布","リチャード
理查德",
qlv5_36,入江のソウルネームは何？,,"イリー
入江","ジャンヌ
贞德","ツェル
采尔","ニーナ
尼娜",
qlv5_37,圭一のソウルネームは何？,,"Ｋ
Ｋ","アラン
阿兰","キース
基斯","ガブリエル
加百列",
qlv5_38,"トミー､イリー､クラウド､Kで
構成されるのはソウル？",,"ブラザー
兄弟","ドラゴン
龙","キャット
猫","ファイター
斗士",
qlv5_39,知恵先生､好きな食べ物は何？,,"カレー
咖喱","ミートソース
肉酱","麻婆豆腐
麻婆豆腐","あったか寄せ鍋
热乎乎什锦锅",
qlv5_40,"コ三カライズ版
｢離見沢停留所｣の作画は誰？",,"ともぞ
友藏","緋賀ゆかり
绯贺由香里","小池ノクト
小池Nocto","和遥キナ
和遥基娜",
qlv5_41,PC原作版１～４話を総じて何という？,,"出題編
出题篇","前編
前篇","ビギニング
开始","上巻
上卷",
qlv5_42,PC原作版５～８話を総じて何という？,,"解答編
解答篇","後編
后篇","ラストシーズン
最后的季节","下巻
下卷",
qlv5_43,"｢音楽CD｣､弦楽四重奏とピアノで
アレンジされたアルバム名は？",,"奏
奏","楽
乐","弦
弦","音
音",
qlv5_44,"コンシューマ版｢奉｣で
初収録となった作品はどれ？",,"雛見沢停留所
雏见泽停留所","心癒し編
心愈篇","羞晒し編
羞曝篇","現壊し編
现坏篇",
qlv5_45,"コンシューマ版｢奉｣で
初収録となった作品はどれ？",,"アウトブレイク
Outbreak","君恋し編
君恋篇","語咄し編
语咄篇","村崩し編
村崩篇",
qlv5_46,"コンシューマ版｢奉｣で
初収録となった作品はどれ？",,"神姦し編
神奸篇","虚仮威し編
虚张声势篇","幸探し編
幸探篇","夢交し編
梦交篇",
qlv5_47,"コンシューマ版｢奉｣で
初収録となった作品はどれ？",,"罰恋し編
罚恋篇","厄醒し編
厄醒篇","夜更し編
夜更篇","猫殺し編
猫杀篇",
qlv5_48,"コンシューマ版
｢ひぐらしのなく頃にシリーズ｣で､
発売されていなジャンルは？",,"ＳＲＰＧ
ＳＲＰＧ","アドベンチャー
冒险","麻雀
麻将","対戦アクション
对战动作",
qlv5_49,"雛見沢一帯で起こる風土病､
離見沢何と呼ばれる？",,"症候群
综合征","吊り橋効果
吊桥效应","病
病","ショック
冲击",
qlv5_50,"｢僕達はもう知っている｣を
歌っているのは誰？",,"松澤由美
松泽由美","片霧烈火
片雾烈火","島みやえい子
岛宫荣子","anNina
anNina",
qlv5_51,｢side effect｣とは何を示す言葉?,,"副作用
副作用","虚言
谎言","妄想
妄想","輪廻
轮回",
qlv5_52,｢アセンション｣とは何を示す言葉？,,"運気による変化
因运势而变化","疑心暗鬼
疑心暗鬼","平行世界
平行世界","信念を貫くこと
坚守信念",
qlv5_53,"この文字､なんて読む？

軒昂",,"けんこう
健康","こうよう
红叶","こうふん
兴奋","のきあがり
檐上",
qlv5_54,"この文字､なんて読む？

弛緩",,"しかん
士官","しゆる
自由","ゆるゆる
松松软软","たるむ
松弛",
qlv5_55,"この文字､なんて読む？

蹂躙",,"じゅうりん
蹂躏","とうしゅう
东洲","じゅうそく
充足","そくそく
速速",
qlv5_56,このキャラは誰？,这个角色是谁？,"荒川龍ノ介
荒川龙之介","荒川龍一
荒川龙一","畠山一馬
畠山一马","黒澤工
黑泽工",
qlv5_57,このキャラは誰？,这个角色是谁？,"采
采","彩
彩","舟
舟","稲
稻",
qlv5_58,このキャラは誰？,这个角色是谁？,"ウネ
畝","フネ
船","イネ
稻","クネ
九音",
qlv5_59,このキャラは誰？,这个角色是谁？,"田村媛命
田村媛命","村田姫
村田姬","田村みこと
田村美琴","田村姫命
田村姬命",
qlv5_60,このキャラは誰？,这个角色是谁？,"荒川
荒川","小日向
小日向","右代宮
右代宫","前原
前原",
qlv6_01,"神姦し編､
圭一たちが最初に目指した
場所は何処？",,"園崎組事務所
园崎组事务所","入江診療所
入江诊疗所","鬼ヶ淵沼
鬼渊沼","古手神社
古手神社",
qlv6_02,"神姦し編､
レナが見つけてきた武器は
どの立て看板？",,"駐輪禁止
禁停单车","駐車禁止
禁止停车","一時停止
暂停","進入禁止
禁止进入",
qlv6_03,"鬼曝し編､
コミカライズ版の連載誌は？",,"コンプエース
Comp Ace","ヤングエース
YOUNG ACE","電撃大王
电击大王","ヤングガンガン
YOUNG GANGAN",
qlv6_04,"雛見沢停留所､
コミカライズ版の連載誌は？",,"ビッグガンガン
BIG GANGAN","ヤングガンガン
YOUNG GANGAN","ガンガンJOKER
GANGAN JOKER","Gファンタジー
G Fantasy",
qlv6_05,｢ひとつのいのち｣を歌ったのは誰？,,"上間江望
上间江望","神代海凪
神代海凪","神園しのぶ
神园忍","桐原歩鳥
桐原步鸟",
qlv6_06,"限定版ドラマCDで
メイド調教を受けたのは誰？",,"鉄平
铁平","入江
入江","羽入
羽入","采
采",
qlv6_07,"TVアニメ版｢ひぐらしのなく頃に｣
エンディングを歌ったのは誰？",,"片霧烈火
片雾烈火","相原優気
相原优气","天弄御魂
天弄御魂","篝
篝火",
qlv6_08,"TVアニメ版
｢ひぐらしのなく頃に解｣､
エンディング曲はどれ？",,"対象a
对象a","対象r
对象r","魔王k
魔王k","検体s
样本s",
qlv6_09,｢when they｣の後には何が来る?,,"cry
cry","laugh
laugh","die
die","sleep
sleep",
qlv6_10,"ドラマCD｢君恋し編｣で､
圭一に｢キュン？｣としたのは誰？",,"園崎お魎
园崎阿魉","園崎詩音
园崎诗音","園崎茜
园崎茜","園崎魅音
园崎魅音",
qlv6_11,"羞晒し編､
呪いの掛かったアイテムは何？",,"海水パンツ
泳裤","メガホン
扩音器","バット
球棒","カーテンのシャー
窗帘的沙沙声",
qlv6_12,"なにかとクローズアップされる
｢雲雀13｣､口癖は何？",,"クール
酷","ホット
热","シット
Shit","すったらん
擂乱",
qlv6_13,"部活メンパー､
｢口先の魔術師｣は誰？",,"前原圭一
前原圭一","前原Ｋ
前原Ｋ","前原佳一
前原佳一","北条悟史
北条悟史",
qlv6_14,"部活メンバー､
｢かあいいモード｣は誰？",,"竜宮レナ
龙宫蕾娜","龍宮レナ
龙宫蕾娜","竜宮０７
龙宫０７","竜宮れな
龙宫蕾娜",
qlv6_15,"部活メンバー､
｢トラップ使い｣は誰？",,"北条沙都子
北条沙都子","北城沙都子
北条沙都子","北条聡子
北条聪子","北條紗都子
北条沙都子",
qlv6_16,"部活メンバー､
｢萌え落とし｣は誰？",,"古手梨花
古手梨花","古手利花
古手梨花","古出梨花
古手梨花","フレデリカ
弗蕾德莉卡",
qlv6_17,"部活メンバー､
｢期待の新人｣は誰？",,"古手羽入
古手羽入","古出羽生
古手羽入","古手ハイリューン
古手羽琉恩","古手羽生
古手羽生",
qlv6_18,"小此木が言う
三拍子に含まれない物は？",,"潜水
潜水","戦略
战略","戦術
战术","戦闘
战斗",
qlv6_19,"ドラマCD｢君恋し編｣､
恋の病は｢何｣でも治らないと
言った？",,"草津の湯
草津温泉","イケメン
帅哥","少女漫画
少女漫画","手料理
亲手做的料理",
qlv6_20,"ひぐらしのなく頃に
10周年記念作品はどれ？",,"煌
煌","粋
粹","絆
绊","拡
扩",
qlv6_21,"北条悟史がアルバイトで買った
プレゼントは何？",,"ぬいぐるみ
毛绒玩具","自転車
自行车","ゲーム機
游戏机","ランドセル
双肩包",
qlv6_22,"沙都子が知恵に言い放った
悪口はどれ？",,"カレー独身貴族
咖喱单身贵族","パン屋の小娘
面包店的小姐","知恵サマー
知惠Summer","インドに帰れ
滚回印度去",
qlv6_23,"鬼曝し編､
その後を書いた物語はどれ？",,"鬼曝し編アフター
鬼曝篇After","裏返し編
里返篇","現壊し編
现坏篇","燕返し編
燕返篇",
qlv6_24,"現壊し編､
ヒロインは詩音と誰？",,"瑞穂
瑞穗","ゆかり
由香里","シスターマリア
修女玛利亚","咲
咲",
qlv6_25,"現壊し編､
登場した刑事は誰？",,"大石
大石","赤坂
赤坂","巴
巴","反町
反町",
qlv6_26,"宵越し編､
コミカライズ版の連載誌は？",,"Gファンタジー
G Fantasy","ヤングガンガン
YOUNG GANGAN","コンプエース
Comp Ace","ビッグガンガン
BIG GANGAN",
qlv6_27,"罰恋し編で羽入は
何のコスプレをさせられた？",,"さくたろう
樱太郎","メイド服
女仆装","巫女
巫女","ねこ耳スク水
猫耳死库水",
qlv6_28,"ひぐらしのなく頃に､
文庫版はどこから出版された？",,"星海社文庫
星海社文库","スニーカー文庫
Sneaker文库","電撃文庫
电击文库","ＧＡ文庫
ＧＡ文库",
qlv6_29,"圭一が母親から託かった
レナへのお礼は？",,"お漬物ありがとう
谢谢腌菜","カレーありがとう
谢谢咖喱","おでんありがとう
谢谢关东煮","煮物ありがとう
谢谢炖菜",
qlv6_30,"この中で
ー番年をとっているのは誰？",,"夏美
夏美","圭一
圭一","レナ
蕾娜","魅音
魅音",
qlv6_31,公由夏美､引っ越し先はどこ？,,"垣内
垣内","興宮
兴宫","穀倉
谷仓","高津戸
高津户",
qlv6_32,"エンジェルモートで
開催されるイベントは何？",,"デザートフェスタ
甜点嘉年华","苺祭
草莓祭","肉フェス
肉祭","すったて鍋合戦
擂锅合战",
qlv6_33,"魅音が集めているのは
カードゲームと何ゲーム？",,"ボードゲーム
桌游","テレビゲーム
电视游戏","ＬＳＩゲーム
ＬＳＩ游戏","知育ゲーム
益智游戏",
qlv6_34,"沙都子のトラップ
魅音の声でギリギリ避けたのは？",,"すずり
砚台","バケツ
水桶","黒板消し
黑板擦","濡れた雑巾
湿抹布",
qlv6_35,"悪戯を謝らない沙都子に
圭一は何をした？",,"デコピン
弹脑门","しっぺ
反击","頭突き
头槌","くすぐり
挠痒",
qlv6_36,"ゴ三山で圭一に声を掛けた富竹､
職業はなんと名乗った？",,"カメラマン
摄影师","フリーター
自由职业者","建設省職員
建设省职员","時報役
报时员",
qlv6_37,ゲーム中の鷹野の第一声は？,,"こんにちは
你好","鷹野よ
鹰野哟","こんばんは
晚上好","あら、詩音ちゃん
哎呀，诗音酱",
qlv6_38,"圭一が詩音と
初めて会ったのはどこ？",,"エンジェルモート
Angel Mort","セブンスマート
7th Mart","園崎家
园崎家","古手神社
古手神社",
qlv6_39,"初めて圭一をエンジェルモートに
連れて行ったのは誰？",,"圭一の父
圭一父亲","レナ
蕾娜","魅音
魅音","富竹
富竹",
qlv6_40,"圭一の父､
何が目的でエンジェルモートに
通っていた？",,"制服
制服","Ｖ．Ｇ．
Ｖ．Ｇ．","スイーツ
甜点","ランチ
午餐",
qlv6_41,"圭一の父､
誰に叩かれた事がないと
言っていた？",,"父さん
爸爸","母さん
妈妈","息子
儿子","女王様
女王大人",
qlv6_42,"レナと圭一､
タ飯の買い物中に
出会ったのは誰？",,"リナ
莉娜","リサ
理沙","リタ
利塔","メイシェ
梅谢",
qlv6_43,"レナが前原家で作ったのは
何カレー？",,"ビーフカレー
牛肉咖喱","ポークカレー
猪肉咖喱","カツカレー
炸猪排咖喱","シーフードカレー
海鲜咖喱",
qlv6_44,"綿流し祭､
圭一たちが出店で
食べなかった物は？",,"ジャガバター
黄油土豆","たこ焼き
章鱼烧","かき氷
刨冰","綿アメ
棉花糖",
qlv6_45,"圭ーがレナに見せたのは
何のキーホルダー？",,"オットセイ
海狗","猫
猫","山羊
山羊","イルカ
海豚",
qlv6_46,"富竹を入部させる為に､
魅音が認定したのは何？",,"名誉市民
名誉市民","特別メンバー
特别成员","一日市民
一日市民","特待生
特待生",
qlv6_47,"圭一が射的ゲームで獲得した景品は
何のヌイグルミ？",,"クマ
熊","ライオン
狮子","オットセイ
海狗","ペンギン
企鹅",
qlv6_48,"離見沢でのお祭り､
町内会の人が
丸めて配っている物は？",,"綿
绵","餅
年糕","水飴
水饴","てるてる坊主
晴天娃娃",
qlv6_49,梨花の父親の職業は？,,"神主
神主","行司
行司","住職
住持","小料理屋
小料理店",
qlv6_50,"診療所の鷹野三四､
何を用意して待つと言った？",,"太めの注射針
较粗的注射针","苦くないお薬
不苦的药","痛くない注射針
不痛的注射针","熱いほうじ茶
热焙茶",
qlv6_51,"ダム反対同盟の事務所が
あったのは何処？",,"古手神社
古手神社","園崎家
园崎家","雛見沢分校
雏见泽分校","公由家
公由家",
qlv6_52,"圭ーが｢オヤシロさま｣の
話を聞いた時､
居なかったのは誰？",,"梨花
梨花","富竹
富竹","鷹野
鹰野","詩音
诗音",
qlv6_53,"圭ーが知恵先生を怒らせた
カレーに対する一言は？",,"ジャンクフード
垃圾食品","スローフード
慢食","ファーストフード
快餐","ソウルフード
灵魂食物",
qlv6_54,"この文字､なんて読む？

呵責",,"かしゃく
扩杓","かせき
化石","かっせき
滑石","どなりぜめ
怒吼攻击",
qlv6_55,"この文字､なんて読む？

入水",,"じゅすい
受水","にゅうすい
入水","いりみず
入水","いりすい
入须井",
qlv6_56,"この文字､なんて読む？

絨毯",,"じゅうたん
地毯","じゅうだん
十段","けむしろ
烟席","せんい
纤维",
qlv6_57,"この文字､なんて読む？

卑劣漢",,"ひれつかん
卑鄙感","くず
屑","ひれつおとこ
卑鄙的男人","ひじゃくかん
被酌馆",
qlv6_58,このキャラは誰？,这个角色是谁？,"魅音
魅音","詩音
诗音","美音
美音","海音
海音",
qlv6_59,このキャラは誰？,这个角色是谁？,"梨花
梨花","利香
利香","理香
理香","花梨
花梨",
qlv6_60,このキャラは誰？,这个角色是谁？,"吉村
吉村","吉岡
吉冈","有村
有村","荒川
荒川",
qlv7_01,"圭ーが飯ごうで炊くごはん､
何仕込办？",,"デイキャンプ
日间露营","ブートキャンプ
新兵训练营","ゆるキャン
轻松露营","オートキャンプ
汽车露营",
qlv7_02,梨花が真似た蛇の鳴き声は何？,,"がおー
嘎嗷ー","シャアアア
夏亚啊啊","にょろにょろ
扭来扭去","ゲロゲロ
呱呱",
